City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Vestmannaeyjar,IS,63.4427,-20.2734,38.5,66,100,38.03,overcast clouds
279,Kushiro,JP,42.975,144.3747,34.75,64,75,8.05,broken clouds
280,West Bay,KY,19.3667,-81.4167,78.87,74,20,1.01,few clouds
281,Port Lincoln,AU,-34.7333,135.8667,70.75,60,5,11.1,clear sky
282,Ishinomaki,JP,38.4167,141.3,39.2,66,72,20.67,broken clouds
283,Kolokani,ML,13.5728,-8.0339,71.92,16,68,8.75,broken clouds
284,Ekibastuz,KZ,51.6667,75.3667,10.63,94,100,4.65,overcast clouds
285,Middelburg,ZA,-25.7751,29.4648,59.56,94,99,7.38,overcast clouds
286,Ribeira Grande,PT,38.5167,-28.7,61.39,77,6,16.06,clear sky
287,Puerto El Triunfo,SV,13.2833,-88.55,86.86,61,100,7.16,overcast clouds
288,Zile,TR,40.3031,35.8864,31.32,96,100,5.32,light snow
289,Atambua,ID,-9.1061,124.8925,79.97,79,100,4.59,overcast clouds
290,Jequitinhonha,BR,-16.4339,-41.0033,71.29,90,1,2.24,clear sky
291,Barcelos,PT,41.5388,-8.6151,51.94,53,0,7.27,clear sky
292,Te Horo,NZ,-40.8084,175.1233,66.09,47,7,9.33,clear sky
293,Onokhoy,RU,51.932,108.0747,-22.25,98,100,0.74,overcast clouds
294,Lanxi,CN,29.2195,119.477,43.84,69,93,3.27,overcast clouds
295,Itarema,BR,-2.9248,-39.9167,77.81,78,11,7.25,few clouds
296,Pizarro,CO,4.9533,-77.366,77.11,83,87,3.51,overcast clouds
297,Takaka,NZ,-40.85,172.8,65.75,61,56,11.48,broken clouds
298,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,94,75,15.7,broken clouds
299,Oktyabrskiy,RU,54.4815,53.471,5.95,95,93,4.16,overcast clouds
300,Touros,BR,-5.1989,-35.4608,81.5,82,29,6.06,scattered clouds
301,Herat,AF,34.5,62.0,42.76,53,0,6.89,clear sky
302,Pisco,PE,-13.7,-76.2167,71.65,83,40,11.5,scattered clouds
303,Champerico,GT,14.3,-91.9167,84.74,76,1,8.93,clear sky
304,Boyolangu,ID,-8.1181,111.8935,78.69,84,97,3.76,overcast clouds
305,Kupang,ID,-10.1667,123.5833,82.98,94,75,16.11,thunderstorm
306,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.33,92,17,4.45,few clouds
307,Sisimiut,GL,66.9395,-53.6735,14.54,81,100,9.84,light snow
308,Ilulissat,GL,69.2167,-51.1,14.02,67,75,10.36,light snow
309,Roebourne,AU,-20.7833,117.1333,106.34,17,24,21.45,few clouds
310,Artyshta,RU,54.1222,86.2909,2.64,99,100,2.73,overcast clouds
311,Namibe,AO,-15.1961,12.1522,67.86,74,100,5.14,overcast clouds
312,Filiatra,GR,37.15,21.5833,42.15,59,84,17.05,broken clouds
313,Srednekolymsk,RU,67.45,153.6833,-39.06,100,79,2.28,broken clouds
314,Guiratinga,BR,-16.3494,-53.7583,68.95,96,34,5.03,scattered clouds
315,La Ronge,CA,55.1001,-105.2842,12.45,79,100,4.61,overcast clouds
316,Lagoa,PT,39.05,-27.9833,60.87,77,64,17.47,broken clouds
317,Uige,AO,-7.6087,15.0613,66.99,100,100,2.13,overcast clouds
318,Ahar,IR,38.4774,47.0699,36.1,90,100,7.52,overcast clouds
319,Chabahar,IR,25.2919,60.643,66.27,59,0,6.2,clear sky
320,Akhtanizovskaya,RU,45.32,37.1,25.27,72,100,18.3,overcast clouds
321,Margate,GB,51.3813,1.3862,42.89,78,98,6.98,overcast clouds
322,Otaki,NZ,-40.7583,175.15,67.75,45,2,8.25,clear sky
323,Boffa,GN,10.1667,-14.0333,78.51,84,6,2.01,clear sky
324,Tura,IN,25.5198,90.2201,54.77,97,10,2.62,clear sky
325,Deputatskiy,RU,69.3,139.9,-13.77,100,100,1.19,overcast clouds
326,Laguna,US,38.421,-121.4238,63.43,70,0,1.01,clear sky
327,Tlalchapa,MX,18.4,-100.4667,79.38,33,1,0.22,clear sky
328,Msowero,TZ,-6.5333,37.2,72.27,87,99,1.86,overcast clouds
329,Mentor,US,41.6662,-81.3395,40.55,67,100,8.05,overcast clouds
330,Bilibino,RU,68.0546,166.4372,-12.23,81,60,4.03,broken clouds
331,Chimbote,PE,-9.0853,-78.5783,70.5,80,98,7.67,overcast clouds
332,Bud,US,39.447,-86.1758,42.78,74,99,7.02,overcast clouds
333,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,82,9,10.92,clear sky
334,Epernay,FR,49.05,3.95,35.15,93,0,4.68,clear sky
335,Beyneu,KZ,45.3167,55.2,28.87,86,13,6.49,few clouds
336,Ewa Beach,US,21.3156,-158.0072,80.55,63,100,11.5,overcast clouds
337,Fayaoue,NC,-20.65,166.5333,80.29,78,48,10.78,scattered clouds
338,Balkanabat,TM,39.5108,54.3671,49.24,61,100,7.85,overcast clouds
339,Litovko,RU,49.2361,135.1742,9.39,94,100,2.59,light snow
340,Cidreira,BR,-30.1811,-50.2056,73.72,82,0,12.97,clear sky
341,Brooks,CA,50.5834,-111.8851,43.43,75,98,5.75,overcast clouds
342,Nara,JP,34.6851,135.8049,43.88,43,25,16.67,scattered clouds
